date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2020-06-11 22:00:30 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 2f0c1d2b2d5b4c7b8742f42fad004746 10.211.112.103 - - 200 0 0 40829
2020-06-11 22:00:30 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 bb38035d8c334e9a94a5d8dec4916e54 10.211.112.103 - - 200 0 0 35657
2020-06-11 22:00:30 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 b60f063d64a04688988cc55327f612ad 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 105644
2020-06-11 22:00:30 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 c027b143e89d45e0822ad657337fb71d 10.211.112.103 - - 200 0 0 29094
2020-06-11 22:00:30 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 d1278e2204cb4ad695ab3b9d0f841024 10.211.112.103 - - 200 0 0 88284
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 6d1ad8737fc1414a9b49070d80fde536 10.211.112.103 - - 200 0 0 76315
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 82508ed624a846c9bc4c8b8e3d21a017 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 112395
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 f0495b7f8ab84370a0f0b0d3f51f2d2c 10.211.112.103 - - 200 0 0 87347
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 d889ea962fb241b0aea32875a7784783 10.211.112.103 - - 200 0 0 88659
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 25106697dc454230a38c754f17dd8c49 10.211.112.103 - - 200 0 0 34688
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 f7dbcad15a704c20ae152502556a9816 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 112692
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 cb76de2befff41deab6e493cc91eafc5 10.211.112.103 - - 200 0 0 41907
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 9829a10f818e4930987b3a17e28f2c4d 10.211.112.103 - - 200 0 0 34923
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 fbef94826afb400291b98efdc5c2fe3d 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 112910
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 5d700067c5b746ea8ab44b11c49950e5 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 110504
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 10b89f1ca4764a39a6f349e539a9bf7b 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 113098
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 9208e57f284943108fed3ac0bc36ad29 10.211.112.103 - - 200 0 0 68612
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 087339d4d30747a6bbb3f0a19e145463 10.211.112.103 - - 200 0 0 72753
2020-06-11 22:00:31 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 4505ecea09c44ef9a7f054653b4f1c78 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 111551
2020-06-11 22:00:32 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 fe3d2796bb1448439f3c5a8324f298d9 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 112285
2020-06-11 22:00:32 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 f7f851772b774affbc629db0597eb6e8 10.211.112.103 - - 200 0 0 42673
